CITYID,ATTRACTIONNAME,attractiontype,STREET,phone,reviewnum,attractionscore
0001,"Solanus Casey Center","Churches & Cathedrals","1780 Mount Elliott St","+1 313-579-2100",5,4
0001,"Sound Board Theater",Theaters,"2901 Grand River Ave","+1 866-782-9622",47,5
0001,"St Lazarus Serbian Orthodox Cathedral","Architectural Buildings","4575 E Outer Dr","+1 313-893-6025",1,5
0001,"Ste. Anne de Detroit Church","Sacred & Religious Sites","1000 Sainte Anne St","+1 313-496-1701",13,5
0001,"Sweetest Heart of Mary Roman Catholic Church","Points of Interest & Landmarks","4440 Russell St","+1 313-831-6659",22,5
0001,"Swords into Plowshares Peace Center and Art Gallery","Art Galleries","33 E Adams Ave","+1 313-963-7575",1,4
0001,"The Cathedral Church of St. Paul","Churches & Cathedrals","4800 Woodward Ave","+1 313-831-5000",4,5
0001,"The Fillmore Detroit",Theaters,"2115 Woodward Ave","+1 313-961-5451",82,5
0001,"The Ford Piquette Avenue Plant","Historic Sites","461 Piquette St","+1 313-872-8759",345,5
0001,"The Guardian Building","Architectural Buildings","500 Griswold St","+1 313-963-4567",565,5
0001,"The Heidelberg Project","Art Galleries","3680 Heidelberg St","+1 313-458-8414",313,4
0001,"The Redford Theatre",Theaters,"17360 Lahser Rd","+1 313-537-2560",50,5
0001,"The Spirit of Detroit","Points of Interest & Landmarks","2 Woodward Ave",null,114,5
0001,"The Z Lot","Points of Interest & Landmarks","Broadway Ave",null,43,5
0001,"Tiger Stadium Site","Arenas & Stadiums","Michigan and Trumble The Corner",null,20,4
0001,"Tuskegee Airmen National Museum","Military Museums","6235 W Jefferson Ave","+1 313-843-8849",4,4
0001,"Two James Spirits","Other Food & Drink","2445 Michigan Ave",null,59,5
0001,"Walter P. Reuther Library",null,"5401 Cass Ave","+1 313-577-4024",null,0
0001,"Wayne County Family Aquatic Center","Sports Complexes","12600 Chandler Park Dr","+1 313-822-7665",2,5
0001,"West Riverfront Park","Nature & Parks","1801 W Jefferson Ave",null,7,4
0001,"William G. Milliken State Park and Harbor",null,null,null,38,5
0001,"William Livingstone Memorial Lighthouse",Lighthouses,"2 Inselruhe","+1 313-852-4075",8,4
0001,"Woodlawn Cemetery",Cemeteries,"19975 Woodward Ave","+1 313-368-0010",13,4
0001,"Woodward Avenue","Points of Interest & Landmarks","Woodward Ave","+1 248-591-3300",83,4
