ID,Age,Sex,Job,Housing,Saving_accounts,Checking_accounts,Credit_amount,Duration,Purpose,Risk
751,23,female,1,own,little,little,976,18,car,0
752,23,female,1,rent,moderate,moderate,841,12,business,1
753,25,female,2,own,little,NA,5771,30,radio/TV,1
754,55,male,2,free,rich,NA,1555,12,repairs,0
755,32,female,2,rent,NA,little,1285,24,car,0
756,74,male,0,own,little,rich,1299,6,car,1
757,39,male,2,free,NA,rich,1271,15,radio/TV,0
758,31,male,2,own,little,NA,1393,24,car,1
759,35,male,2,own,little,little,691,12,car,0
760,59,female,2,own,NA,NA,5045,15,car,1
761,24,female,2,rent,little,little,2124,18,furniture/equipment,0
762,24,male,1,own,little,little,2214,12,radio/TV,1
763,30,male,3,free,NA,NA,12680,21,car,0
764,27,male,2,own,moderate,NA,2463,24,car,1
765,40,male,1,own,little,moderate,1155,12,radio/TV,1
766,31,male,1,own,little,little,3108,30,furniture/equipment,0
767,31,female,2,rent,NA,NA,2901,10,car,1
768,28,male,2,rent,little,moderate,3617,12,furniture/equipment,1
769,63,male,1,own,little,NA,1655,12,radio/TV,1
770,26,female,2,rent,NA,little,2812,24,car,1
771,25,female,3,own,little,little,8065,36,education,0
772,36,male,3,own,little,NA,3275,21,car,1
773,52,male,2,own,moderate,NA,2223,24,radio/TV,1
774,66,male,0,free,quite rich,rich,1480,12,car,1
775,25,female,2,rent,NA,little,1371,24,car,0
776,37,male,2,own,little,NA,3535,36,car,1
777,25,female,2,own,little,little,3509,18,radio/TV,1
778,38,male,3,own,rich,NA,5711,36,car,1
779,67,female,2,own,little,moderate,3872,18,repairs,1
780,25,male,2,own,little,moderate,4933,39,radio/TV,0
781,60,male,2,own,rich,NA,1940,24,car,1
782,31,male,1,own,little,moderate,1410,12,education,1
783,23,female,1,own,moderate,moderate,836,12,car,0
784,60,male,3,own,NA,moderate,6468,20,car,1
785,35,male,1,own,rich,moderate,1941,18,business,1
786,40,male,2,own,quite rich,NA,2675,22,radio/TV,1
787,38,male,2,own,NA,NA,2751,48,car,1
788,50,male,2,free,little,moderate,6224,48,education,0
789,27,male,2,own,little,little,5998,40,education,0
790,39,female,2,own,little,moderate,1188,21,business,0
791,41,male,3,own,NA,NA,6313,24,car,1
792,27,male,2,own,NA,NA,1221,6,furniture/equipment,1
793,51,male,2,free,little,rich,2892,24,furniture/equipment,1
794,32,male,2,rent,quite rich,NA,3062,24,furniture/equipment,1
795,22,female,2,rent,moderate,NA,2301,9,furniture/equipment,1
796,51,male,2,free,NA,little,7511,18,car,0
797,22,female,1,rent,little,NA,1258,12,furniture/equipment,1
798,54,male,2,own,NA,NA,717,24,car,1
799,35,male,0,own,NA,moderate,1549,9,car,1
800,54,male,2,free,little,NA,1597,24,education,1
801,48,female,1,rent,little,moderate,1795,18,radio/TV,1
802,24,female,2,own,little,little,4272,20,furniture/equipment,1
803,35,male,2,own,NA,NA,976,12,radio/TV,1
804,24,female,0,rent,NA,moderate,7472,12,car,1
805,24,male,2,own,little,little,9271,36,car,0
806,26,male,1,own,little,moderate,590,6,radio/TV,1
807,65,male,2,own,NA,NA,930,12,radio/TV,1
808,55,male,3,free,little,moderate,9283,42,car,1
809,26,female,0,rent,little,moderate,1778,15,car,0
810,26,male,2,own,little,moderate,907,8,business,1
811,28,male,1,own,little,moderate,484,6,radio/TV,1
812,24,male,2,own,little,little,9629,36,car,0
813,54,male,2,own,little,little,3051,48,domestic appliances,0
814,46,male,2,free,little,little,3931,48,car,0
815,54,female,2,rent,little,moderate,7432,36,car,1
816,62,male,2,own,quite rich,NA,1338,6,domestic appliances,1
817,24,female,2,rent,little,NA,1554,6,radio/TV,1
818,43,male,3,own,little,little,15857,36,vacation/others,1
819,26,male,2,own,little,little,1345,18,radio/TV,0
820,27,male,2,own,little,NA,1101,12,car,1
821,24,male,2,own,little,rich,3016,12,radio/TV,1
822,41,male,2,own,little,little,2712,36,furniture/equipment,0
823,47,male,1,own,little,little,731,8,car,1
824,35,male,3,own,little,NA,3780,18,furniture/equipment,1
825,30,male,2,own,little,little,1602,21,car,1
826,33,female,2,rent,little,little,3966,18,car,0
827,36,male,2,own,little,NA,4165,18,business,0
828,47,male,2,free,NA,little,8335,36,car,0
829,38,male,2,free,NA,moderate,6681,48,business,1
830,44,male,2,own,quite rich,NA,2375,24,business,1
831,23,female,2,rent,little,little,1216,18,car,0
832,29,male,2,rent,little,little,11816,45,business,0
833,42,female,2,own,NA,moderate,5084,24,radio/TV,1
834,25,female,1,own,little,rich,2327,15,radio/TV,0
835,48,male,2,own,little,little,1082,12,car,0
836,21,female,2,own,NA,NA,886,12,radio/TV,1
837,23,female,1,rent,little,NA,601,4,furniture/equipment,1
838,63,male,2,own,little,little,2957,24,car,1
839,46,male,2,own,little,NA,2611,24,radio/TV,1
840,29,male,2,own,little,little,5179,36,furniture/equipment,0
841,28,male,1,own,little,NA,2993,21,car,1
842,23,female,2,own,little,NA,1943,18,repairs,0
843,50,male,2,own,little,NA,1559,24,business,1
844,47,male,2,own,little,NA,3422,18,furniture/equipment,1
845,35,male,2,own,NA,moderate,3976,21,furniture/equipment,1
846,68,male,2,rent,NA,NA,6761,18,car,0
847,28,male,2,own,little,NA,1249,24,car,1
848,59,male,2,own,little,little,1364,9,radio/TV,1
849,57,male,1,own,little,little,709,12,radio/TV,0
850,33,male,2,rent,little,little,2235,20,car,0
851,43,male,2,own,NA,NA,4042,24,car,1
852,35,male,2,free,little,NA,1471,15,radio/TV,1
853,32,male,1,free,little,little,1442,18,car,0
854,45,male,2,own,little,NA,10875,36,car,1
855,33,male,2,own,moderate,NA,1474,24,car,1
856,40,female,2,own,NA,NA,894,10,education,1
857,28,male,2,free,little,NA,3343,15,furniture/equipment,1
858,29,female,2,own,little,little,3959,15,car,0
859,26,male,2,rent,moderate,NA,3577,9,car,1
860,27,male,2,own,rich,NA,5804,24,car,1
861,28,male,2,own,little,NA,2169,18,business,0
862,35,female,2,own,little,little,2439,24,radio/TV,0
863,32,male,1,own,rich,NA,4526,27,furniture/equipment,1
864,25,male,1,rent,little,NA,2210,10,furniture/equipment,0
865,20,female,2,rent,quite rich,NA,2221,15,furniture/equipment,1
866,27,female,2,own,little,little,2389,18,radio/TV,1
867,42,male,2,own,little,NA,3331,12,furniture/equipment,1
868,37,male,2,own,NA,NA,7409,36,business,1
869,24,female,2,rent,little,little,652,12,furniture/equipment,1
870,40,female,2,own,quite rich,NA,7678,36,furniture/equipment,1
871,46,male,2,own,little,rich,1343,6,car,1
872,26,male,2,own,moderate,little,1382,24,business,1
873,24,female,2,own,NA,NA,874,15,domestic appliances,1
874,29,male,1,own,little,little,3590,12,furniture/equipment,1
875,40,female,2,own,rich,moderate,1322,11,car,1
876,36,male,3,free,little,little,1940,18,radio/TV,1
877,28,male,2,own,little,NA,3595,36,radio/TV,1
878,27,male,3,free,little,little,1422,9,car,0
879,36,male,2,own,NA,NA,6742,30,radio/TV,1
880,38,male,3,own,little,NA,7814,24,car,1
881,48,male,2,free,NA,NA,9277,24,car,1
882,36,male,2,own,NA,moderate,2181,30,car,1
883,65,female,0,own,little,NA,1098,18,radio/TV,1
884,43,male,2,own,little,moderate,4057,24,furniture/equipment,0
885,53,female,2,own,little,little,795,12,education,0
886,34,male,2,own,NA,moderate,2825,24,business,1
887,23,male,2,own,little,moderate,15672,48,business,0
888,34,male,3,own,little,NA,6614,36,car,1
889,40,male,2,rent,NA,NA,7824,28,car,1
890,43,male,3,own,little,little,2442,27,business,1
891,46,male,2,own,little,NA,1829,15,radio/TV,1
892,38,male,1,own,little,little,2171,12,car,1
893,34,male,2,own,little,moderate,5800,36,car,1
894,29,male,2,own,NA,NA,1169,18,radio/TV,1
895,31,male,3,own,NA,NA,8947,36,car,1
896,28,female,3,rent,little,little,2606,21,radio/TV,1
897,35,female,2,own,rich,NA,1592,12,furniture/equipment,1
898,33,female,1,rent,NA,NA,2186,15,furniture/equipment,1
899,42,male,2,own,little,little,4153,18,furniture/equipment,0
900,43,male,2,rent,little,little,2625,16,car,0
901,44,male,2,own,NA,NA,3485,20,car,1
902,42,male,2,free,NA,NA,10477,36,car,1
903,40,male,2,rent,NA,NA,1386,15,radio/TV,1
904,36,male,3,own,little,NA,1278,24,radio/TV,1
905,20,male,3,rent,little,little,1107,12,radio/TV,1
906,24,male,1,own,NA,little,3763,21,car,1
907,27,male,2,own,NA,moderate,3711,36,education,1
908,46,female,1,own,little,NA,3594,15,car,1
909,33,female,1,own,NA,moderate,3195,9,car,1
910,34,female,2,own,little,NA,4454,36,radio/TV,1
911,25,female,1,own,little,moderate,4736,24,furniture/equipment,0
912,25,female,2,own,NA,moderate,2991,30,radio/TV,1
913,28,male,2,own,rich,NA,2142,11,business,1
914,31,male,2,rent,little,little,3161,24,business,0
915,32,female,3,own,little,moderate,18424,48,vacation/others,0
916,32,male,2,own,moderate,NA,2848,10,car,1
917,68,male,3,own,little,little,14896,6,car,0
918,33,male,2,own,moderate,little,2359,24,furniture/equipment,0
919,39,male,3,rent,little,little,3345,24,furniture/equipment,0
920,28,female,2,own,little,NA,1817,18,furniture/equipment,1
921,37,male,3,own,quite rich,NA,12749,48,radio/TV,1
922,22,female,2,rent,little,little,1366,9,radio/TV,0
923,30,male,2,rent,little,moderate,2002,12,car,1
924,55,male,2,own,little,little,6872,24,furniture/equipment,0
925,46,male,2,own,little,little,697,12,car,0
926,21,female,2,rent,little,little,1049,18,furniture/equipment,1
927,39,male,2,free,little,little,10297,48,car,0
928,58,male,2,own,NA,NA,1867,30,radio/TV,1
929,43,male,1,own,little,little,1344,12,car,1
930,24,male,1,own,little,little,1747,24,furniture/equipment,1
931,22,female,2,own,little,moderate,1670,9,radio/TV,0
932,30,male,2,own,little,NA,1224,9,car,1
933,42,male,2,own,quite rich,NA,522,12,radio/TV,1
934,23,female,2,own,little,little,1498,12,radio/TV,1
935,30,male,3,own,moderate,moderate,1919,30,radio/TV,0
936,28,female,1,own,little,rich,745,9,radio/TV,0
937,30,male,3,rent,little,moderate,2063,6,radio/TV,1
938,42,male,2,free,little,moderate,6288,60,education,0
939,46,male,3,own,NA,NA,6842,24,car,1
940,45,male,3,own,NA,NA,3527,12,car,1
941,31,male,1,own,little,NA,1546,10,car,1
942,31,male,2,own,NA,NA,929,24,furniture/equipment,1
943,42,male,1,own,little,NA,1455,4,car,1
944,46,female,2,rent,little,little,1845,15,furniture/equipment,1
945,30,female,2,own,quite rich,moderate,8358,48,car,1
946,30,male,2,free,quite rich,little,3349,24,furniture/equipment,0
947,38,male,3,own,NA,NA,2859,12,car,1
948,43,male,1,own,little,NA,1533,18,furniture/equipment,0
949,31,male,2,own,moderate,NA,3621,24,radio/TV,0
950,40,male,0,own,little,moderate,3590,18,business,1
951,24,male,2,own,little,little,2145,36,business,0
952,28,female,2,rent,quite rich,moderate,4113,24,car,0
953,26,female,3,own,little,NA,10974,36,furniture/equipment,0
954,29,female,2,own,little,little,1893,12,car,1
955,57,female,3,rent,rich,little,1231,24,radio/TV,1
956,49,male,1,own,NA,rich,3656,30,radio/TV,1
957,37,male,1,own,little,moderate,1154,9,radio/TV,1
958,45,male,1,own,little,little,4006,28,car,0
959,30,male,2,free,moderate,moderate,3069,24,furniture/equipment,1
960,30,male,2,rent,little,NA,1740,6,radio/TV,1
961,47,male,2,own,little,moderate,2353,21,car,1
962,29,male,2,own,NA,NA,3556,15,car,1
963,35,male,2,own,quite rich,NA,2397,24,radio/TV,0
964,22,male,1,own,little,moderate,454,6,repairs,1
965,26,female,2,own,NA,moderate,1715,30,radio/TV,1
966,23,male,1,own,quite rich,moderate,2520,27,radio/TV,0
967,54,female,3,rent,little,NA,3568,15,radio/TV,1
968,29,male,2,rent,NA,NA,7166,42,radio/TV,1
969,40,male,1,own,little,little,3939,11,car,1
970,22,male,2,own,moderate,moderate,1514,15,repairs,1
971,43,male,1,own,little,NA,7393,24,car,1
972,29,female,0,rent,little,little,1193,24,car,0
973,36,male,2,rent,little,little,7297,60,business,0
974,33,female,2,own,little,NA,2831,30,radio/TV,1
975,57,female,1,own,quite rich,rich,1258,24,radio/TV,1
976,64,female,2,own,little,moderate,753,6,radio/TV,1
977,42,male,2,own,NA,moderate,2427,18,business,1
978,47,male,1,own,little,NA,2538,24,car,0
979,25,male,2,rent,moderate,moderate,1264,15,car,0
980,49,male,2,own,little,moderate,8386,30,furniture/equipment,0
981,33,male,3,rent,little,NA,4844,48,business,0
982,28,female,3,own,moderate,rich,2923,21,car,1
983,26,male,2,own,little,little,8229,36,car,0
984,30,male,1,own,little,NA,2028,24,furniture/equipment,1
985,25,female,2,rent,little,little,1433,15,furniture/equipment,1
986,33,male,2,own,little,rich,6289,42,business,1
987,64,female,2,own,moderate,NA,1409,13,radio/TV,1
988,29,male,3,free,little,little,6579,24,car,1
989,48,male,1,own,little,moderate,1743,24,radio/TV,1
990,37,male,1,own,NA,NA,3565,12,education,1
991,34,male,1,own,moderate,NA,1569,15,radio/TV,1
992,23,male,1,rent,NA,little,1936,18,radio/TV,1
993,30,male,3,own,little,little,3959,36,furniture/equipment,1
994,50,male,2,own,NA,NA,2390,12,car,1
995,31,female,1,own,little,NA,1736,12,furniture/equipment,1
996,40,male,3,own,little,little,3857,30,car,1
997,38,male,2,own,little,NA,804,12,radio/TV,1
998,23,male,2,free,little,little,1845,45,radio/TV,0
999,27,male,2,own,moderate,moderate,4576,45,car,1
